Date,Temperature_C,Humidity_%,CO2_ppm,GrowthRate_cm_per_day,Length_cm,Weight_g,Ammonia_ppm,Temp_3day_avg,Humidity_3day_avg,CO2_3day_avg,GrowthRate_calc,LengthRate_calc,Delta_Temperature,Delta_Humidity,Delta_CO2,Delta_Ammonia
2024-06-03,0.5479323308270676,0.46899896085902304,0.5942346287173872,0.48450000000000004,0.405,2.1625829891222075e-05,0.5000000000000002,0.5040726817042607,0.45733748989724043,0.496989600437876,0.0,0.14690000000000003,0.11090225563909772,-0.03671631451333601,0.25299519552393157,0.08823529411764713
2024-06-04,0.6710526315789476,0.48389331485971576,0.20908593322386393,0.653,0.5856,6.487748967366622e-05,0.3676470588235295,0.5520050125313284,0.48620251703036593,0.3815199983782356,4.325165978244414e-05,0.18059999999999998,0.12312030075187996,0.014894354000692722,-0.38514869549352326,-0.13235294117647073
2024-06-05,0.42387218045112784,0.33287149289920315,0.7074743051754542,0.15149999999999997,0.6659,8.65033195648883e-05,0.35294117647058837,0.5476190476190477,0.4285879228726473,0.5035982890389018,2.1625829891222078e-05,0.08030000000000004,-0.24718045112781972,-0.15102182196051261,0.49838837195159025,-0.014705882352941124
2024-06-06,0.42387218045112784,0.47107724281260843,0.6059721462020309,0.355,0.7869,0.00012975497934733244,0.2794117647058824,0.5062656641604011,0.42928068352384247,0.5075107948671164,4.325165978244414e-05,0.121,0.0,0.13820574991340528,-0.1015021589734233,-0.07352941176470595
2024-06-07,0.6795112781954888,0.553169379979217,0.5664416469014166,0.747,0.9863,0.00021625829891222076,0.673202614379085,0.5090852130325815,0.45237270523034284,0.6266293660929673,8.650331956488831e-05,0.1993999999999999,0.255639097744361,0.08209213716660857,-0.03953049930061425,0.3937908496732026
2024-06-08,0.5648496240601502,0.7183927952892275,0.6990208599403998,0.8579999999999999,1.2079,0.0003243874483683311,0.619281045751634,0.556077694235589,0.5808798060270176,0.6238115510146157,0.00010812914945611035,0.22160000000000002,-0.11466165413533869,0.1652234153100105,0.13257921303898312,-0.05392156862745101
2024-06-09,0.39097744360902253,0.6331832351922411,0.8235723408137199,0.5445000000000001,1.3668,0.0004325165978244415,0.24346405228758172,0.5451127819548872,0.6349151368202285,0.6963449492185121,0.0001081291494561104,0.15890000000000004,-0.17387218045112762,-0.08520956009698644,0.12455148087332013,-0.3758169934640523
2024-06-10,0.5328947368421051,0.8399722895739519,0.7047983944535665,0.9995,1.6167,0.0006271490668454402,0.6045751633986929,0.49624060150375926,0.7305161066851401,0.7424638650692287,0.00019463246902099872,0.2499,0.14191729323308255,0.2067890543817108,-0.11877394636015337,0.36111111111111116
2024-06-11,0.39097744360902253,0.3339106338759956,0.18384722982424107,0.14,1.6947,0.0006920265565191064,0.6944444444444444,0.43828320802005005,0.6023553862140628,0.5707393216971758,6.487748967366617e-05,0.07800000000000007,-0.14191729323308255,-0.5060616556979562,-0.5209511646293254,0.08986928104575154
2024-06-12,0.39097744360902253,0.6179425008659507,0.286261631089217,0.5455,1.8538,0.0008434073657576609,0.9330065359477127,0.43828320802005005,0.5972751414386327,0.39163575178900817,0.00015138080923855453,0.1590999999999998,0.0,0.2840318669899551,0.10241440126497592,0.23856209150326824
2024-06-13,0.49060150375939826,0.4987876688604085,0.40576537128261236,0.47450000000000003,1.9986,0.0009947881749962154,0.7500000000000002,0.4241854636591478,0.4835469345341183,0.2919580773986901,0.00015138080923855443,0.14480000000000004,0.09962406015037573,-0.11915483200554222,0.11950374019339538,-0.18300653594771243
